sigma,N_iid,N_cc95,N_bias_med,N_bias_mix,Eterm_iid_kJ,Eterm_cc95_kJ,Eterm_bias_med_kJ
7.0,4.441235481724371,12.0,78.89648174541362,256621981334.28104,59.29584628172644,123.07565701881441,687.538928018145
7.25,4.724799022802551,13.0,85.9032757422194,256662240982.38147,61.688516266110426,131.51351886553297,746.6612877516093
7.5,5.018503294838123,14.0,93.19420639549205,256707109208.409,64.16675233733763,139.95138071225153,808.1811533379292
7.75,5.322330538825668,15.0,100.76712034995784,256756734116.39642,66.73040464737379,148.38924255897012,872.0803550627988
8.0,5.636265703027816,16.0,108.6200512638707,256811244138.3226,69.37934619173842,156.8271044056887,938.342301206221
8.25,5.9602959641884885,17.0,116.75120644002916,256870749196.566,72.11346876956833,165.26496625240722,1006.9518652368765
8.5,6.294410344272546,18.0,125.15895326124391,256935341984.08594,74.93267974971961,173.7028280991258,1077.8952713564736
8.75,6.638599401665685,19.0,133.8418058879055,257005099307.78085,77.8368994651552,182.14068994584437,1151.1599822556616
9.0,6.992854980823125,20.0,142.7984125104903,257080083451.80032,80.82605910051497,190.57855179256293,1226.7345915524365
9.25,7.3571700081073645,21.0,152.02754333251548,257160343527.42126,83.90009896942287,199.0164136392815,1304.6087223939771
9.5,7.731538324360721,22.0,161.52807937711734,257245916784.43546,87.05896710175735,207.45427548600009,1384.7729330080979
9.75,8.115954546872178,23.0,171.2990021536624,257336829865.95132,90.30261807894644,215.89213733271862,1467.218629511541
10.0,8.510413955001836,24.0,181.339384182577,257433099994.19446,93.63101206888288,224.3299991794372,1551.937985959798
10.25,8.914912394951811,26.0,191.64838035166926,257534736079.46298,97.04411402239394,241.20572287287433,1638.9238714129494
10.5,9.329446200114472,27.0,202.2252200617919,257641739748.0104,100.54189300115102,249.64358471959292,1728.1697836618514
10.75,9.754012124158713,28.0,213.06920011091492,257754106287.42554,104.12432161306074,258.08144656631146,1819.6697891849237
11.0,10.188607284582446,29.0,224.17967826152935,257871825510.20117,107.7913755359687,266.51930841303005,1913.4184688707933
11.25,10.633229114904585,31.0,235.55606743526633,257994882537.75314,111.54303311426204,283.39503210646717,2009.4108690332907
11.5,11.087875324020082,32.0,247.19783047967238,258123258508.2562,115.37927501591292,291.83289395318576,2107.6424572542232
11.75,11.552543861518844,34.0,259.10447545442884,258256931212.42453,119.30008393984424,308.7086176466229,2208.109082609144
12.0,12.02723288799035,35.0,271.27555138744736,258395875661.82422,123.30544436536415,317.1464794933415,2310.8069398578755
12.5,13.006665955663893,38.0,296.40937454230016,258689468923.2128,131.56976527850125,342.46006503349713,2522.882667318379
13.0,14.026163146158535,41.0,322.596375603008,259003800613.64813,140.17214172501275,367.7736505736529,2743.844964448505
13.5,15.085715144064904,44.0,349.83407766055166,259338615370.1639,149.11249510276133,393.0872361138085,2973.6729314321406
14.0,16.185314265614217,47.0,378.12037439218193,259693649288.88126,158.39076057716753,418.4008216539643,3212.3487954089237
14.5,17.324954127496582,51.0,407.45346754602144,260068636791.22147,168.00688428674437,452.1522690408385,3459.8573829779475
15.0,18.50462939149744,54.0,437.8318159429766,260463315668.67474,177.96082118837484,477.46585458099423,3716.1856898829396
15.5,19.724335565754963,58.0,469.25409374299414,260877430689.8742,188.2525333803495,511.21730196786854,3981.322528868699
16.0,20.9840688487379,62.0,501.71915617654514,261310736086.75162,198.88198878587272,544.9687493547427,4255.2582405280955
16.5,22.283826005767256,66.0,535.2260113059856,261762997177.189,209.8491601111701,578.720196741617,4537.984455028326
17.0,23.623604270550775,70.0,569.7737966711647,262233991330.6824,221.15402401464976,612.4716441284913,4829.4938950497935
17.5,25.003401266105065,74.0,605.3617599036429,262723508440.93665,232.79656043965426,646.2230915153654,5129.7802122115445
18.0,26.423214940823083,78.0,641.9892425762138,263231351034.25955,244.7767520750067,679.9745389022397,5438.837850795776
18.5,27.883043516461296,83.0,679.6556666989559,263757334114.19302,257.09458391613384,722.1638481358326,5756.6619338033815
19.0,29.382885445573248,87.0,718.3605233877589,264301284820.0007,269.75004290589635,755.915295522707,6083.248167340541
19.5,30.92273937647868,92.0,758.1033633224388,264863041958.47803,282.74311763900295,798.1046047562996,6418.592760105621
20.0,32.50260412428218,96.0,798.8837886842368,265442455454.23257,296.0737981174698,831.8560521431739,6762.692355358891
20.5,34.12247864677525,101.0,840.7014463204903,266039385752.34976,309.74207554728554,874.0453613767667,7115.543973246972
21.0,35.78236202430541,106.0,883.5560219307871,266653703198.61362,323.74794216854957,916.2346706103596,7477.144961746411
21.5,37.48225344288059,111.0,927.4472351062477,267285287415.68335,338.0913911129094,958.4239798439523,7847.492954805823
22.0,39.22215217993152,116.0,972.3748350836853,267934026688.41272,352.77241628342523,1000.6132890775452,8226.585836520078
22.5,41.002057592261444,122.0,1018.3385971007486,268599817367.51727,367.7910122528918,1051.2404601578567,8614.421710375507
23.0,42.821969105809345,127.0,1065.3383192578785,269282563297.76938,383.14717417746147,1093.4297693914493,9010.998872771528
23.5,44.68188620692104,133.0,1113.3738198090068,269982175274.62744,398.84089772299126,1144.0569404717608,9416.315790159922
24.0,46.581808434879434,139.0,1162.444934816013,270698570531.50345,414.8721790020139,1194.6841115520722,9830.371079253478
24.5,48.52173537549001,144.0,1212.551516112741,271431672258.6297,431.2410145196134,1236.8734207856648,10253.16348984664
25.0,50.50166665555553,150.0,1263.6934295331655,272181409153.5725,447.94740112680284,1287.5005918659763,10684.691889865026
25.5,52.521601938102314,156.0,1315.8705533656205,272947715002.8024,464.9913359802451,1338.127762946288,11124.955252322405
26.0,54.58154091824044,163.0,1369.082777000973,273730528293.2817,482.3728165073209,1397.1927958733177,11573.952643914205
26.5,56.68148331956737,169.0,1423.3299997476777,274529791852.74002,500.091840375784,1447.8199669536289,12031.683215019066
27.0,58.821428891032184,175.0,1478.6121297907175,275345452517.1253,518.1484054673012,1498.4471380339407,12498.146190914566
27.5,61.00137740419624,182.0,1534.9290832749837,276177460823.6197,536.5425098543391,1557.5121709609705,12973.34086404288
28.0,63.22132865083335,188.0,1592.2807834964833,277025770727.5778,555.2741517799137,1608.1393420412817,13457.266587186312
28.5,65.48128244081857,195.0,1650.6671601872226,277890339341.74695,574.343329639777,1667.204374968312,13949.92276743324
29.0,67.78123860027522,202.0,1710.0881488816335,278771126696.17194,593.7500419667816,1726.2694078953418,14451.308860832105
29.5,70.12119696993383,209.0,1770.5436903541804,279668095517.246,613.4942874170338,1785.3344408223718,14961.42436764602
30.0,72.50115740368653,216.0,1832.0337301191807,280581211024.44183,633.5760647576956,1844.3994737494017,15480.268828132324
