weight,rho,ablation,K,coverage_pct
uniform,0.8,A0,605,98.4803620313984
uniform,0.8,Eucl,1,0.3016928320017878
uniform,0.8,Eucl,5,1.4917034471199508
uniform,0.8,Eucl,10,2.90519023409129
uniform,0.8,Eucl,20,5.463992401810157
uniform,0.8,Eucl,30,7.6596457902676125
uniform,0.8,Eucl,50,11.486675233253255
uniform,0.8,Eucl,75,15.56511536957372
uniform,0.8,Eucl,100,18.94519246885301
uniform,0.8,Eucl,150,23.88960277110453
uniform,0.8,Eucl,300,29.493267780322924
uniform,0.8,Eucl,605,29.90111179395497
uniform,0.8,energy,1,0.3016928320017878
uniform,0.8,energy,5,1.4917034471199508
uniform,0.8,energy,10,2.90519023409129
uniform,0.8,energy,20,5.463992401810157
uniform,0.8,energy,30,7.6596457902676125
uniform,0.8,energy,50,11.486675233253255
uniform,0.8,energy,75,15.56511536957372
uniform,0.8,energy,100,18.94519246885301
uniform,0.8,energy,150,23.88960277110453
uniform,0.8,energy,300,29.493267780322924
uniform,0.8,energy,605,29.90111179395497
uniform,0.8,sigma_High,1,0.09497737303759987
uniform,0.8,sigma_High,5,0.4301916308173641
uniform,0.8,sigma_High,10,0.7821666014861165
uniform,0.8,sigma_High,20,1.3743784568970334
uniform,0.8,sigma_High,30,1.8771998435666797
uniform,0.8,sigma_High,50,2.7319962009050784
uniform,0.8,sigma_High,75,3.637074696910442
uniform,0.8,sigma_High,100,4.341024638247947
uniform,0.8,sigma_High,150,5.324319794401922
uniform,0.8,sigma_High,300,6.55902564389072
uniform,0.8,sigma_High,605,6.55902564389072
uniform,0.8,sigma_Medium,1,0.09497737303759987
uniform,0.8,sigma_Medium,5,0.4246047265210347
uniform,0.8,sigma_Medium,10,0.7709927928934578
uniform,0.8,sigma_Medium,20,1.3576177440080452
uniform,0.8,sigma_Medium,30,1.854852226381362
uniform,0.8,sigma_Medium,50,2.6928878708307726
uniform,0.8,sigma_Medium,75,3.5756187496508183
uniform,0.8,sigma_Medium,100,4.257221073803006
uniform,0.8,sigma_Medium,150,5.218168612771663
uniform,0.8,sigma_Medium,300,6.363483993519191
uniform,0.8,sigma_Medium,605,6.363483993519191
uniform,0.8,sigma_Low,1,0.07262975585228225
uniform,0.8,sigma_Low,5,0.3016928320017878
uniform,0.8,sigma_Low,10,0.5363428124476227
uniform,0.8,sigma_Low,20,0.9218392088943517
uniform,0.8,sigma_Low,30,1.2235320408961394
uniform,0.8,sigma_Low,50,1.7040058103804683
uniform,0.8,sigma_Low,75,2.1509581540868203
uniform,0.8,sigma_Low,100,2.502933124755573
uniform,0.8,sigma_Low,150,2.955472372758255
uniform,0.8,sigma_Low,300,3.251578300463713
uniform,0.8,sigma_Low,605,3.251578300463713
