weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
pop,Medium,0.0,5,511,1756467.8640286874,1757602.2695456196,0.0006458447320125438
pop,Medium,0.0,10,511,1790141.1147391624,1790141.1147391638,7.803763906773178e-16
pop,Medium,0.0,20,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.0,30,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.0,50,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.0,75,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.0,100,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.0,150,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.0,300,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.0,605,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.2,1,511,941133.9446917269,941133.9446917248,-2.2265436335645187e-15
pop,Medium,0.2,5,511,1682243.4338778642,1682243.433877864,-1.3840484615068727e-16
pop,Medium,0.2,10,511,1766867.9284426896,1766997.3060803195,7.322428323428556e-05
pop,Medium,0.2,20,511,1792508.0571775255,1792592.1391543832,4.6907447094062114e-05
pop,Medium,0.2,30,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.2,50,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.2,75,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.2,100,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.2,150,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.2,300,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.2,605,511,1793358.967509997,1793358.9675100006,1.9474403719948922e-15
pop,Medium,0.5,1,511,301107.36024056736,301107.36024056654,-2.706367762440214e-15
pop,Medium,0.5,5,511,1048805.8265109374,1050878.1754613935,0.0019759128888044157
pop,Medium,0.5,10,511,1455413.084366946,1455413.0843669395,-4.479317997298341e-15
pop,Medium,0.5,20,511,1683041.762016066,1683041.762016067,6.916959784021304e-16
pop,Medium,0.5,30,511,1731377.2820465614,1731377.2820465623,5.379085103361272e-16
pop,Medium,0.5,50,511,1774451.8881739248,1774567.9058672593,6.538227049586837e-05
pop,Medium,0.5,75,511,1785156.0083071687,1785158.9028892585,1.6214728999960486e-06
pop,Medium,0.5,100,511,1787566.710027614,1787566.7100276167,1.5630005348462073e-15
pop,Medium,0.5,150,511,1787578.8796484116,1787578.8796484144,1.5629898941276173e-15
pop,Medium,0.5,300,511,1787578.8796484116,1787578.8796484144,1.5629898941276173e-15
