cand_id,lng,lat
321,114.249460,30.526987
322,114.169240,30.665289
323,114.291885,30.643373
324,114.321530,30.346970
325,114.221439,30.552002
326,114.212150,30.597984
327,114.278114,30.401320
328,114.401665,30.885904
329,114.336552,30.560027
330,114.422050,30.500150
331,114.233610,30.437683
332,114.139776,30.642717
333,114.196650,30.621700
334,114.415949,30.401036
335,114.454727,30.418236
336,114.367200,30.878979
337,114.325271,30.491324
338,114.234040,30.527063
339,114.290777,30.406047
340,114.203298,30.632100
341,114.114983,30.634870
342,114.221790,30.591055
343,114.163666,30.414051
344,114.412285,30.634995
345,114.412285,30.634995
346,114.221620,30.669989
347,114.207063,30.555454
348,114.455447,30.431855
349,114.183390,30.491655
350,114.201004,30.623440
351,114.145005,30.477312
352,114.279990,30.599878
353,114.153770,30.576270
354,114.260540,30.630482
355,114.081215,30.477442
356,114.237920,30.512175
357,114.447266,30.499716
358,114.287173,30.789951
359,114.269724,30.594095
360,114.270530,30.627200
361,114.272034,30.712182
362,114.087210,30.310217
363,114.131986,30.476639
364,114.204405,30.493749
365,114.530670,30.499067
366,114.046555,30.330471
367,114.355103,30.370261
368,114.264220,30.490694
369,114.281680,30.565819
370,114.087367,30.327955
371,114.262157,30.639434
372,114.475930,30.493174
373,114.282502,30.631841
374,114.293603,30.497057
375,114.127471,30.638104
376,114.806284,30.828541
377,114.261146,30.727640
378,114.571806,30.718882
379,114.165744,30.568196
380,114.268992,30.567589
381,114.194630,30.642673
382,114.300780,30.376450
383,114.318770,30.760418
384,114.412285,30.634995
385,114.194060,30.598452
386,114.314456,30.408696
387,114.259247,30.720809
388,114.337907,30.504983
389,114.056145,30.311502
390,114.477003,30.459515
391,114.286672,30.705018
392,114.315068,30.533766
393,114.029175,30.655779
394,114.413925,30.435396
395,114.378654,30.349163
396,114.120370,30.466570
397,114.448627,31.073952
398,114.050140,30.322634
399,114.314456,30.408696
400,114.255847,30.352075
401,114.452610,30.499676
402,114.297640,30.786354
403,114.163588,30.507731
404,114.185984,30.566272
405,114.283760,30.647346
406,114.262470,30.487920
407,114.302790,30.427694
408,114.253360,30.603320
409,114.417174,30.348042
410,114.171540,30.631788
411,114.341150,30.590095
412,113.875260,30.246218
413,114.321810,30.582210
414,114.293830,30.701670
415,114.143890,30.464151
416,114.103657,30.606566
417,114.314300,30.531040
418,114.265190,30.487282
419,114.144140,30.405897
420,114.094550,30.559998
421,114.350400,30.369432
422,114.164150,30.588090
423,114.286672,30.705018
424,114.233440,30.561182
425,114.320640,30.389496
426,114.372519,30.398127
427,114.388920,30.341312
428,114.296655,30.597671
429,114.128330,30.608513
430,114.330170,30.554655
431,114.353093,30.598602
432,114.156450,30.401272
433,114.384670,30.331587
434,114.796640,30.815395
435,114.263060,30.611176
436,114.287831,30.705863
437,114.238801,30.879016
438,114.160390,30.644684
439,114.249800,30.619760
440,114.367775,30.521505
441,114.381290,30.634115
442,114.302340,30.698391
443,114.797710,30.826681
444,114.160090,30.492552
445,114.419250,30.474230
446,114.384670,30.331587
447,114.353270,30.370330
448,114.259370,30.330097
449,114.124150,30.296642
450,114.143890,30.464151
451,114.325690,30.261328
452,114.390205,30.331285
453,114.244150,30.721876
454,114.287173,30.789951
455,114.057556,30.320704
456,114.285900,30.709750
457,114.254456,30.708628
458,114.300780,30.395433
459,114.286672,30.705018
460,114.150982,30.635919
461,114.154060,30.625180
462,114.284120,30.707506
463,114.079720,30.347430
464,114.293510,30.626932
465,114.309010,30.439213
466,114.333790,30.555054
467,114.248520,30.734167
468,114.149870,30.625355
469,114.136435,30.616630
470,114.278470,30.716654
471,114.260769,30.720024
472,114.335560,30.347239
473,115.039560,30.907606
474,114.242300,30.651600
475,114.159740,30.202316
476,114.263170,30.644096
477,114.056480,30.311563
478,114.452380,30.414219
479,114.301765,30.700205
480,114.429250,30.389132
481,114.139917,30.658511
482,114.428159,30.417875
483,114.286640,30.706556
484,114.199210,30.537190
485,114.980225,30.939830
486,114.303000,30.689766
487,114.493600,30.479590
488,114.171575,30.618325
489,114.203794,30.557870
490,114.178377,30.579287
491,114.114983,30.634870
492,114.087575,30.327875
493,114.465280,30.472553
494,114.296104,30.701260
495,114.328970,30.519045
496,114.076475,30.453448
497,114.260640,30.427114
498,115.076965,30.883120
499,114.127525,30.598995
500,114.211626,30.546631
501,114.312290,30.497124
502,114.378360,30.600033
